POSIÇÃO 	 CÓDIGO 	KVA	LP	SERIAL	FABRICANTE	ANO DE FABRICAÇÃO 	ENRROLAMENTO	INSPEÇÃO 
A-56-1	397134	300	166201	1174691	ROMAGNOLE 	mar/19	ALUMINIO	REP-NOV-24
A-57-1	397001	150	170828	1319198	ITB	set/20	ALUMINIO	REP-DEZ-22
A-58-1	394033	225	157818	1048530	ROMAGNOLE	jul/16	ALUMINIO	TRIF
A-59-1	397974	112,5	175112	1318374	ROMAGNOLE	ago/21	ALUMINIO	REP-MAR-24
A-60-1	397001	150	163161	1132387	ROMAGNOLE	mar/18	ALUMINIO	REP-MAR-24
A-6-1	397001	150	173000	1350683	ITB	mar/21	ALUMINIO	TRIF
A-61-1	397001	150	169127	1220634	ROMAGNOLE	fev/20	ALUMINIO	REPARADO
A-62-1	397974	112,5	184375	1606021	ITB	jun/24		
A-63-1	397033	225	179414	1075567543	WEG	out/22	ALUMINIO	TRIF
A-64-1	397145	112,5	171287	1327403	ITB	nov/20	ALUMINIO	TRIF
A-65-1	397974	112,5	171690	1331616	ITB	dez/20	ALUMINIO	TRIF
A-66-1	397977	112,5AP	154460	970326	ITB	set/15	ALUMINIO	REPARADO
A-67-1	397001	150	180476	1485960	ITB	out/22	ALUMINIO	TRIF
A-68-1	397001	150	173938	1367547	ITB	jun/21	ALUMINIO	TRIF
A-69-1	397001	150	166994	1180511	ROMAGNOLE	mai/19	ALUMINIO	TRIF
A-7-1	397001	150	162679	1124920	ROMAGNOLE	fev/18	ALUMINIO	TRIF
A-71-1	397033	225	184682	1550763	ROMAGNOLE	mai/24		
A-72-1	397977	112,5AP	170335	1254662	ROMAGNOLE	ago/20	ALUMINIO	TRIF/AP
A-73-1	397034	300	172002	55633	WEG	mar/21	ALUMINIO	RET-SEM-REP
A-74-1	397033	225	172785	1057395306	WEG	mar/21	ALUMINIO	RET-SEM-REP
A-74-2	397973	75	182340	1481803	ROMAGNOLE	nov/23	ALUMINIO	TRIF
A-75-1	397001	150	183239	1589383	ITB	mar/24	ALUMINIO	
A-76-1	397001	150	149077	932966	ITB	jan/15	ALUMINIO	RET-SEM-REPARO
A-76-2	397973	75	150710	979423	ROMAGNOLE	jan/15		
A-77-1	397001	150	184403	1545961	ROMAGNOLE	dez/24		
A-77-2	397972	45	172929	1346264	ITB	fev/21	ALUMINIO	TRIF/AP
A-78-1	397033	225	174429	1059955959	WEG	jun/21	ALUMINIO	
A-78-2	397147	50	182138	1481184	ROMAGNOLE	nov/23		
A-80-1	397134	300	163898	1135091	ROMAGNOLE 	mai/19	ALUMINIO	RET-SEM-REP-AP
A-8-1	397001	150	163888	1136547	ROMAGNOLE	jul/19	ALUMINIO	TRIF
A-81-1	397974	112,5	173234	1283254	ROMAGNOLE	mar/21	ALUMINIO	TRIF
A-82-1	397974	112,5	171943	1272099	ROMAGNOLE	dez/20		REP-ABR-23
A-83-1	397974	112,5	182747	1092476404	WEG	fev/24	ALUMINIO	
A-83-3	397971	30	159380	1084616	ROMAGNOLE	mar/17		
A-84-1	397033	225	179342	1075566190	WEG	out/22	ALUMINIO	TRIF
A-86-1	397001	150	166161	1174914	ROMAGNOLE	fev/19	ALUMINIO	TRIF
A-86-1	397033	225	177734	1070178016	WEG	jul/22	ALUMINIO	TRIF
