Material	Texto breve material	Quantidade	Doc.material	Item doc.material	Tipo de movimento	Centro	Dep¢sito	Data do documento	Data de lanáamento	Unid.medida b†sica	Montante em MI	Texto cabeáalho documento	Pedido	UM pedido	Diagrama de rede
10001415	ARMACAO P/ISOL SEC 1 ESTR DES: AMR-060	-10	4926839368	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-133,28	0070	4200441146	PEÄ	
10001415	ARMACAO P/ISOL SEC 1 ESTR DES: AMR-060	-10	4926839368	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-133,28	0070	4200440814	PEÄ	
10001415	ARMACAO P/ISOL SEC 1 ESTR DES: AMR-060	-50	4926839368	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-666,42	0070	4200440229	PEÄ	
10001415	ARMACAO P/ISOL SEC 1 ESTR DES: AMR-060	-9	4926840223	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-119,96	0138	4200440815	PEÄ	
10001415	ARMACAO P/ISOL SEC 1 ESTR DES: AMR-060	-10	4926839368	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-133,28	0070	4200440229	PEÄ	
10001416	ARMACAO P/ISOL SEC AC 1010 1020 2 ESTR	-114	4926839368	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-3.211,96	0070	4200440229	PEÄ	
10001416	ARMACAO P/ISOL SEC AC 1010 1020 2 ESTR	-105	4926840384	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-2.958,39	0216	4200439147	PEÄ	
10001416	ARMACAO P/ISOL SEC AC 1010 1020 2 ESTR	-12	4926840223	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-338,10	0138	4200440473	PEÄ	
10001417	SELA AC 1010/20 CRUZ MAD CONCR	-13	4926840385	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-144,03	0216	4200439147	PEÄ	
10001417	SELA AC 1010/20 CRUZ MAD CONCR	-2	4926839371	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-22,16	0070	4200440229	PEÄ	
10001417	SELA AC 1010/20 CRUZ MAD CONCR	-6	4926839371	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-66,47	0070	4200440814	PEÄ	
10001417	SELA AC 1010/20 CRUZ MAD CONCR	-11	4926840223	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-121,87	0138	4200440815	PEÄ	
10001417	SELA AC 1010/20 CRUZ MAD CONCR	-7	4926839371	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-77,55	0070	4200441146	PEÄ	
10001417	SELA AC 1010/20 CRUZ MAD CONCR	-2	4926839371	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-22,16	0070	4200441146	PEÄ	
10001418	SELA AC 1010/20 CRUZ AC	-10	4926840385	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-116,39	0216	4200439147	PEÄ	
10001418	SELA AC 1010/20 CRUZ AC	-20	4926840385	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-232,77	0216	4200439147	PEÄ	
10001429	OLHAL SUSP GAR FOFO NOD	-1	4926839647	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-25,26	0070	4200440229	PEÄ	
10001433	GRAMPO SUSP CABO PRê-REUNIDO 120mm - MT	-1	4926839647	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-32,99	0070	4200440229	PEÄ	
10001443	MOLDURA LINHA TERRA MAD MEIA CANA	-1	4926840010	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-179,11	0060	4200439832	PEÄ	
10001456	HASTE ATERR SP AC 1020 COBR 9/16POL 2,4M	-8	4926839372	17	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-628,62	0070	4200440814	PEÄ	
