Material	Texto breve material	Quantidade	Montante em MI	Doc.material	Item doc.material	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento	Txt.tipo movimento	Nº reserva	Diagrama de rede
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	35,500	0,00	500086045	1	11	015	101	21/10/2022	4500510500	35,500	65	21/10/2022	21/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.999	0,00	500084857	1	11	015	101	20/10/2022	4500512155	1.999	1	20/10/2022	20/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	12,500	0,00	500084859	2	11	015	101	20/10/2022	4500479403	12,500	12	20/10/2022	20/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	0,500	0,00	500084883	1	11	015	101	20/10/2022	4500511803	0,500	1	20/10/2022	20/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	42	0,00	500084867	1	11	015	101	20/10/2022	4500497207	42	1	20/10/2022	20/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	3.768,500	0,00	500084536	2	11	015	101	19/10/2022	4500479403	3.768,500	12	19/10/2022	19/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	206,500	0,00	500084508	4	11	015	101	19/10/2022	4500476001	206,500	14	19/10/2022	19/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.112,740	0,00	500084611	1	11	015	101	19/10/2022	4500507591	2.112,740	1	19/10/2022	19/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	560	0,00	500084461	1	11	015	101	18/10/2022	4500511798	560	3	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-6.690	-27,69	491354954	1	11	015	309	18/10/2022		-6.690	0	18/10/2022	18/10/2022	TR Retif.mat.p/mat.	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.498	0,00	500084443	1	11	015	101	18/10/2022	4500511740	2.498	1	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.674,500	0,00	500084440	1	11	015	101	18/10/2022	4500511774	2.674,500	1	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.695	0,00	500084380	1	11	015	101	18/10/2022	4500496971	2.695	3	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	307	0,00	500084428	2	11	015	101	18/10/2022	4500510500	307	47	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	583	0,00	500084473	1	11	015	101	18/10/2022	4500511798	583	3	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	318	0,00	500084475	2	11	015	101	18/10/2022	4500476006	318	6	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	811	0,00	500084511	1	11	015	101	18/10/2022	4500511736	811	1	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	308	0,00	500084439	4	11	015	101	18/10/2022	4500479403	308	12	18/10/2022	18/10/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	6.666	0,00	500084092	1	11	015	101	14/10/2022	4500511626	6.666	1	14/10/2022	14/10/2022	EM estoque trânsito	0	
