DATA	Preço
5627	4936,05
5644	0,00
5646	50,00
5654	10,56
5657	0,00
5675	2,95
5676	6,31
5697	2,22
5717	14,45
5718	32,45
5719	190,35
5724	0,00
5745	4,91
5747	0,00
5748	0,00
5749	0,00
5750	0,00
5752	0,00
5753	45,00
5754	0,00
5779	46,27
5781	0,00
5785	39,99
5824	29,00
5828	0,00
5829	4,00
5845	35,40
5846	11,00
5850	0,00
5851	0,00
5857	0,00
5876	0,00
5877	49,00
5878	0,00
5884	0,00
5887	0,00
5904	0,00
5912	4,55
5913	0,00
5918	5,80
5922	0,00
5927	21,00
5929	23,00
5930	24,75
5932	0,00
5934	0,00
5935	17,60
5951	0,00
5952	0,00
5954	0,00
5955	145,90
5956	0,00
5957	0,00
5958	0,00
5980	44,99
5981	7,99
5982	3,25
6009	1410,37
6025	0,00
6026	0,00
6056	0,00
6057	0,00
6058	0,00
6059	0,00
6094	410,37
6102	0,00
6109	0,00
6115	0,00
6119	69,80
6122	0,00
6126	0,00
6139	0,00
6140	0,00
6141	10,40
6145	0,00
6155	112,00
6156	0,00
6172	25,60
6178	21,90
6179	18,50
6196	95,00
6238	0,00
6248	27,99
6263	0,00
6264	0,00
6265	0,00
6266	550,00
6268	0,00
6274	167,83
6275	0,00
6277	0,00
6278	550,00
6289	76,00
6290	1,30
6292	8,35
6293	11,02
6294	2,03
6296	22,42
6300	5,06
6303	2,45
6304	4,78
6305	28,63
6307	550,00
6308	0,00
6322	399,00
6323	57,90
6324	58,90
6325	58,90
6346	10,00
6352	0,00
6353	0,00
6388	2224,06
6389	0,00
6390	55,00
6398	0,00
6400	0,00
6401	746,82
6405	0,00
6408	100,85
6411	8,70
6412	11,70
6413	9,76
6414	12,80
6415	26,52
6417	5,00
6420	145,00
6435	0,00
6442	600,00
6461	1,35
6469	13,95
6479	2,29
6480	6,03
6491	0,25
6492	0,00
6493	0,25
6494	0,25
6495	0,00
6496	0,25
6497	0,00
6498	0,00
6499	0,00
6500	0,00
6501	0,00
6502	0,00
6503	1,07
6504	1,78
6505	1,78
6506	0,34
6508	0,00
6509	0,00
6510	0,00
6511	11,31
6512	0,00
6513	0,00
6514	0,25
6519	28,00
6532	64,80
6548	0,00
6554	1,58
6555	24,91
6556	0,00
6560	0,00
6561	50,00
6562	1,65
6572	0,00
6575	10,50
6578	0,00
6587	96,80
6588	0,00
6616	20,38
6618	4,98
6619	24,75
6620	24,75
6625	2500,00
6626	118,91
6627	113,38
6628	200,25
6629	84,50
6630	800,50
6632	65,21
6633	61,20
6634	3,80
6637	22,82
6644	0,00
6646	65,31
6647	62,84
6648	0,00
6650	0,00
6655	0,50
6656	1,50
6659	98,73
6660	41,68
6661	124,37
6662	51,48
6664	99,23
6665	0,00
6668	6,50
6672	22,52
6674	36,59
6676	42,28
6677	54,27
6678	72,16
6679	64,74
6680	28,88
6681	112,16
6683	1000,00
6684	630,72
6685	319,76
6687	110,83
6688	706,64
6689	176,07
6690	237,60
6691	290,39
6693	535,04
6694	290,40
6695	103,10
6697	1180,00
6698	309,75
6700	0,00
6701	926,00
6702	630,72
6703	400,00
6708	62,86
6710	56,95
6711	0,00
6712	58,80
6723	0,00
6724	3,70
6746	0,00
6759	0,00
6760	0,00
6761	0,00
6763	0,00
6764	2,66
6765	0,00
6771	0,50
6788	14,50
6790	14,60
6791	48,99
6792	2,47
6793	1,24
6795	0,00
6796	27,00
6797	90,11
6976	48,00
6980	60,00
6982	29,90
6983	13,00
6984	145,00
6989	130,00
7007	25,00
7008	4,99
7010	290,39
7011	74,58
7017	1,89
7018	0,00
7021	96,70
7024	3,40
7036	390,00
7039	81,00
7040	191,65
7041	129,75
7047	0,00
7050	0,00
7051	0,00
7052	0,00
7055	72,00
7056	28,00
7057	0,00
7060	84,70
7061	112,00
7064	62,50
7065	0,00
7070	0,00
7071	0,00
7073	0,00
7074	0,00
7075	1000,00
7077	5,87
7078	2,40
7079	1,77
7082	1,22
7085	57,90
7089	0,00
7090	0,00
7094	0,00
7105	1400,00
7106	542,35
7107	167,66
7111	312,90
7113	35,17
7115	492,86
7116	43,76
7127	0,00
7129	741,90
7131	92,00
7132	0,00
7133	777,04
7134	165,80
7135	180,90
7136	193,92
7137	103,00
7138	900,00
7139	980,00
7140	80,00
7141	105,00
7144	0,00
7145	254,10
7147	12,00
7157	467,72
7176	0,00
7188	0,00
7190	3,80
7194	119,00
7215	0,00
7233	17,50
7236	4,91
7252	0,00
7268	2,10
7269	20,99
7273	1,58
7274	0,50
7275	0,55
7276	0,55
7277	4,55
7279	16,19
7300	0,00
7302	750,00
7315	0,00
7319	0,00
7320	0,00
7321	44,74
7322	44,97
7323	45,99
7324	1,85
7327	1,84
7333	52,50
7334	39,99
7337	545,00
7338	0,00
7339	375,00
7343	0,00
7348	0,00
7349	0,00
7350	168,00
7351	134,00
7354	111,30
7371	0,04
7379	141,50
7380	5,16
7382	43,99
7394	0,00
7395	0,00
7396	892,00
7402	0,00
7403	0,00
7404	0,00
7406	1,67
7412	45,99
7413	0,00
7415	80,00
7418	0,00
7419	23,50
7420	23,50
7421	0,40
7429	2,37
7433	0,00
7434	5,27
7438	9,00
7440	0,00
7442	2,79
7443	7,99
7444	14,90
7445	2,15
7448	0,00
7449	3,09
7450	0,00
7458	142,35
7464	0,00
7465	0,00
7466	0,00
7517	20,00
7518	64,75
7530	0,00
7531	65,00
7532	65,00
7533	65,00
7535	16,90
7537	9,50
7539	60,00
7556	7,20
7557	0,17
7561	5,68
7572	146,80
7585	4,99
7586	65,00
7587	65,00
7589	0,00
7608	507,97
7609	47,65
7610	32,00
7611	3,89
7616	0,00
7620	2,90
7624	0,00
7630	7,52
7631	12,43
7660	0,00
7664	23,50
7675	4,30
7676	1790,00
7677	49,70
7681	2000,00
7682	4000,00
7690	17,85
7693	246,00
7695	27,90
7696	28,48
7697	28,48
7702	36,00
7703	0,00
7712	4,95
7713	0,00
7716	491,00
7721	29,90
7726	99,88
7730	101,90
7731	49,00
7733	55,90
7734	44,00
7735	22,00
7739	17,47
7743	459,00
7746	130,00
7812	99,90
7813	420,00
7822	1071,69
7826	0,00
7830	3,21
7876	13,49
7881	61,90
7882	49,00
7883	30,00
7885	11,60
7893	0,00
7894	0,00
7895	0,00
7896	375,56
7897	0,00
7899	0,00
7900	0,00
7901	445,00
7902	378,00
7904	0,00
7905	0,00
7907	313,00
7908	0,00
7912	24,75
7913	0,00
7939	2,00
7940	0,00
7941	0,00
7942	0,00
7947	5636,53
7949	60,00
7952	54,60
7957	0,00
7958	0,00
7959	54,60
7960	54,60
7961	54,60
7962	54,60
7963	0,00
7965	35,74
7966	27,55
7967	38,00
7969	25,00
7975	60,00
7976	0,00
7978	0,00
7979	0,00
7983	35,00
7984	36,00
7985	30,00
7989	21,00
7990	680,00
7991	75,01
7993	18,90
7994	23,50
7996	21,00
7997	21,00
7998	0,00
7999	0,00
8000	0,00
8003	525,00
8005	43,00
8006	43,00
8007	43,00
8008	43,00
8009	43,00
8010	40,00
8011	40,00
8012	40,00
8013	40,00
8014	40,00
8015	40,00
8016	44,00
8017	44,00
8018	44,00
8019	54,20
8020	54,20
8021	0,00
8023	0,00
8024	21,00
8025	30,56
8026	44,66
8027	38,86
8030	0,40
8032	0,40
8035	9,10
8036	2,06
8037	0,00
8038	151,30
8039	0,00
8040	0,00
8041	79,90
8042	0,00
8043	0,00
8044	0,00
8045	0,00
8046	0,00
8047	0,00
