Material	Texto breve material	Quantidade	Montante em MI	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.230	-51,96	11	15	905	11/08/2022		-5.230	0	11/08/2022	11/08/2022
999738	SUCATA FIO/CABO COBRE 1 CAPA ISOLACAO	-1.970	-17,74	11	15	905	10/08/2022		-1.970	0	10/08/2022	10/08/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-14.420	-140,92	11	15	905	10/08/2022		-14.420	0	10/08/2022	10/08/2022
999913	SUCATA ISOLADOR FE E METAIS	-6.162	-29,05	11	15	905	10/08/2022		-6.162	0	10/08/2022	10/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-2.720	-27,02	11	15	905	10/08/2022		-2.720	0	10/08/2022	10/08/2022
999994	SUCATA DE POLIMEROS DIVERSOS	-2.440	-29,64	11	15	905	10/08/2022		-2.440	0	10/08/2022	10/08/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-15.320	-508,39	11	15	905	09/08/2022		-15.320	0	09/08/2022	09/08/2022
999909	SUCATA CARRETEL MADEIRA	-3.310	-32,98	11	15	905	08/08/2022		-3.310	0	08/08/2022	08/08/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	05/08/2022		-25	0	05/08/2022	05/08/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	05/08/2022		-25	0	05/08/2022	05/08/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	04/08/2022		-25	0	04/08/2022	04/08/2022
999887	SUCATA POSTE CONCRETO	-23	-0,23	11	15	905	04/08/2022		-23	0	04/08/2022	04/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.120	-50,86	11	15	905	04/08/2022		-5.120	0	04/08/2022	04/08/2022
999666	SUCATA TRANSF POTENCIA 3000 kVA EN COBRE	-1	-0,07	11	15	905	02/08/2022		-1	0	02/08/2022	02/08/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-15.250	-471,12	11	15	905	02/08/2022		-15.250	0	02/08/2022	02/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.000	-59,60	11	15	905	01/08/2022		-6.000	0	01/08/2022	01/08/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-2.240	-7,42	11	15	905	01/08/2022		-2.240	0	29/07/2022	29/07/2022
999736	SUCATA COBRE LIMPO	-14,400	-0,16	11	15	905	01/08/2022		-14,400	0	29/07/2022	29/07/2022
999738	SUCATA FIO/CABO COBRE 1 CAPA ISOLACAO	-351,500	-3,21	11	15	905	01/08/2022		-351,500	0	29/07/2022	29/07/2022
999887	SUCATA POSTE CONCRETO	-35	-0,35	11	15	905	01/08/2022		-35	0	29/07/2022	29/07/2022
999916	SUCATA CHAVES SECCIO/FACA/FUSÍVEL	-3.514	-4,55	11	15	905	01/08/2022		-3.514	0	29/07/2022	29/07/2022
999913	SUCATA ISOLADOR FE E METAIS	-8.360	-41,65	11	15	905	28/07/2022		-8.360	0	28/07/2022	28/07/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.780	-57,41	11	15	905	27/07/2022		-5.780	0	27/07/2022	27/07/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-270	-2,68	11	15	905	27/07/2022		-270	0	27/07/2022	27/07/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-14.330	-385,78	11	15	905	26/07/2022		-14.330	0	26/07/2022	26/07/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-19.770	-197,12	11	15	905	21/07/2022		-19.770	0	21/07/2022	21/07/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-3.310	-32,88	11	15	905	21/07/2022		-3.310	0	21/07/2022	21/07/2022
999994	SUCATA DE POLIMEROS DIVERSOS	-2.650	-30,58	11	15	905	21/07/2022		-2.650	0	21/07/2022	21/07/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-13.530	-367,87	11	15	905	19/07/2022		-13.530	0	19/07/2022	19/07/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-13.750	-373,27	11	15	905	19/07/2022		-13.750	0	19/07/2022	19/07/2022
