COD. CLIENTE;FORNECEDOR;DATA;CÓDIGO SAP;NUM. COLETA;NUM. SÉRIE;STATUS
26138;3C;;999958;4587417;4587417;NÃO EXPORTADO
26139;3C;;999958;51972727;5197272;NÃO EXPORTADO
26140;3C;;999958;1053468;1053468;NÃO EXPORTADO
26141;3C;;999958;4052965;4052965;NÃO EXPORTADO
26142;3C;;999958;5870149;5870149;NÃO EXPORTADO
26143;3C;;999958;4584250;4584250;NÃO EXPORTADO
26144;3C;;999958;6155991;6155991;NÃO EXPORTADO
26145;3C;;999958;4580750;4580750;NÃO EXPORTADO
26147;3C;;999958;5143267;5143267;NÃO EXPORTADO
26148;3C;;999958;60549947;6054994;NÃO EXPORTADO
26150;3C;;999958;57600511;5760051;NÃO EXPORTADO
26151;3C;;999958;60208325;6020832;NÃO EXPORTADO
26134;3C;;999959;9839650;9839650;NÃO EXPORTADO
26133;3C;;999959;9678828;9678828;NÃO EXPORTADO
26132;3C;;999959;7248472;7248472;NÃO EXPORTADO
26117;3C;;999959;9756592;9756592;NÃO EXPORTADO
26118;3C;;999959;84323540;8432354;NÃO EXPORTADO
26119;3C;;999959;8465149;8465149;NÃO EXPORTADO
26120;3C;;999959;65275287;6527528;NÃO EXPORTADO
26121;3C;;999958;1054315;1054315;NÃO EXPORTADO
26122;3C;;999958;5555645;5555645;NÃO EXPORTADO
26123;3C;;999958;1478569;1478569;NÃO EXPORTADO
26124;3C;;999958;562481;562481;NÃO EXPORTADO
26125;3C;;999958;3803552;3803552;NÃO EXPORTADO
26126;3C;;999958;69313971;6931397;NÃO EXPORTADO
26127;3C;;999958;57347166;5734716;NÃO EXPORTADO
26128;3C;;999958;17758238;1775823;NÃO EXPORTADO
26129;3C;;999958;60070137;6007013;NÃO EXPORTADO
26130;3C;;999958;2567989;2567989;NÃO EXPORTADO
26131;3C;;999959;72818701;7281870;NÃO EXPORTADO
26152;3C;;999958;2874518;2874518;NÃO EXPORTADO
25888;3C;;999959;9343917;9343917;NÃO EXPORTADO
25777;3C;;999959;7070130;7070130;NÃO EXPORTADO
25796;3C;;999959;84325861;8432586;NÃO EXPORTADO
25797;3C;;999959;8552739;8552739;NÃO EXPORTADO
25798;3C;;999959;81758910;8175891;NÃO EXPORTADO
25799;3C;;999959;81759541;8175954;NÃO EXPORTADO
25800;3C;;999959;84318147;8431814;NÃO EXPORTADO
25801;3C;;999959;7511898;7511898;NÃO EXPORTADO
25802;3C;;999959;84318571;8431857;NÃO EXPORTADO
25803;3C;;999959;84322331;8432233;NÃO EXPORTADO
25804;3C;;999959;84333251;8433325;NÃO EXPORTADO
25806;3C;;999959;84326166;8432616;NÃO EXPORTADO
25807;3C;;999958;47556196;4755619;NÃO EXPORTADO
25820;3C;;999958;3275959;3275959;NÃO EXPORTADO
25821;3C;;999958;51167191;5116719;NÃO EXPORTADO
25823;3C;;999958;48282014;4828201;NÃO EXPORTADO
25825;3C;;999958;33798869;3379886;NÃO EXPORTADO
25795;3C;;999959;84332964;8433296;NÃO EXPORTADO
25794;3C;;999959;74346563;7434656;NÃO EXPORTADO
25793;3C;;999959;67239650;6723965;NÃO EXPORTADO
25778;3C;;999959;9623453;9623453;NÃO EXPORTADO
25779;3C;;999959;90900201;9090020;NÃO EXPORTADO
25780;3C;;999959;81764456;8176445;NÃO EXPORTADO
25781;3C;;999959;84321750;8432175;NÃO EXPORTADO
25782;3C;;999959;84315971;8431597;NÃO EXPORTADO
25783;3C;;999959;84338733;8433873;NÃO EXPORTADO
25784;3C;;999959;9924565;9924565;NÃO EXPORTADO
25785;3C;;999959;84317752;8431775;NÃO EXPORTADO
25786;3C;;999959;9526268;9526268;NÃO EXPORTADO
25787;3C;;999959;68850255;6885025;NÃO EXPORTADO
25788;3C;;999959;77910451;7791045;NÃO EXPORTADO
25789;3C;;999959;9576877;9576877;NÃO EXPORTADO
25790;3C;;999959;81004702;8100470;NÃO EXPORTADO
25791;3C;;999959;84323914;8432391;NÃO EXPORTADO
25792;3C;;999959;8028748;8028748;NÃO EXPORTADO
25827;3C;;999958;2916047;2916047;NÃO EXPORTADO
25829;3C;;999958;50852001;5085200;NÃO EXPORTADO
25838;3C;;999959;67338811;6733881;NÃO EXPORTADO
25872;3C;;999959;82677034;8267703;NÃO EXPORTADO
25873;3C;;999959;9611805;9611805;NÃO EXPORTADO
25874;3C;;999959;82668370;8266837;NÃO EXPORTADO
25875;3C;;999959;8412438;8412438;NÃO EXPORTADO
25876;3C;;999959;9477579;9477579;NÃO EXPORTADO
25877;3C;;999959;84321121;8432112;NÃO EXPORTADO
25878;3C;;999959;84334762;8433476;NÃO EXPORTADO
25879;3C;;999959;8222163;8222163;NÃO EXPORTADO
25880;3C;;999959;6730114;6730114;NÃO EXPORTADO
25881;3C;;999959;67298915;6729891;NÃO EXPORTADO
25882;3C;;999959;90573692;9057369;NÃO EXPORTADO
25883;3C;;999959;9414655;9414655;NÃO EXPORTADO
25884;3C;;999959;85523682;8552368;NÃO EXPORTADO
25885;3C;;999959;10022634;1002263;NÃO EXPORTADO
25886;3C;;999959;7780003;7780003;NÃO EXPORTADO
25871;3C;;999959;74073656;7407365;NÃO EXPORTADO
25870;3C;;999959;9764381;9764381;NÃO EXPORTADO
25869;3C;;999959;84320893;8432089;NÃO EXPORTADO
25839;3C;;999959;84324287;8432428;NÃO EXPORTADO
25844;3C;;999959;85539902;8553990;NÃO EXPORTADO
